提取目标,卡片类型,Prompt模板,OMS业务模拟输出结构
内容摘要,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,"{'card_type': '标准卡片', 'title': '内容摘要 - 标准卡片 示例卡片', 'content': {'摘要内容': 'OMS订单模块涵盖创建、审核、分配及履约全过程，支持多仓、多角色协同。', '关键词': ['OMS', '订单分配', '履约']}, 'usage_scene': '页面Bot提示、搜索摘要结果、知识聚合卡片', 'language': 'zh-CN'}"
内容摘要,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,"{'card_type': 'QA卡片', 'title': '内容摘要 - QA卡片 示例卡片', 'content': {'问题': 'OMS订单履约失败怎么办？', '回答内容': '请检查客户地址与仓库是否匹配，确认是否开启了默认仓策略', '适用模块': 'OMS > Order'}, 'usage_scene': '页面Bot提示、搜索摘要结果、知识聚合卡片', 'language': 'zh-CN'}"
内容摘要,术语卡片,请提取文中的术语与其定义、英文原文与示例用法，输出为术语卡片结构。,"{'card_type': '术语卡片', 'title': '内容摘要 - 术语卡片 示例卡片', 'content': {'术语': '派车优先级', '定义说明': '用于表示任务调度中车辆选择的优先程度', '英文原文': 'Dispatch Priority', '示例用法': '加急任务默认派车优先级为最高'}, 'usage_scene': '页面Bot提示、搜索摘要结果、知识聚合卡片', 'language': 'zh-CN'}"
常见问答（FAQ）,流程卡片,请将以下操作流程整理为步骤清单，并说明适用模块与使用说明。,"{'card_type': '流程卡片', 'title': '常见问答（FAQ） - 流程卡片 示例卡片', 'content': {'流程标题': 'OMS创建订单流程', '步骤1-5': ['点击新建订单', '选择客户', '填写明细', '确认仓库', '提交订单'], '适用模块': 'OMS > Order', '备注说明': '适用于标准下单流程'}, 'usage_scene': 'Copilot问答、帮助中心、FAQ列表', 'language': 'zh-CN'}"
常见问答（FAQ）,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,"{'card_type': 'QA卡片', 'title': '常见问答（FAQ） - QA卡片 示例卡片', 'content': {'问题': 'OMS订单履约失败怎么办？', '回答内容': '请检查客户地址与仓库是否匹配，确认是否开启了默认仓策略', '适用模块': 'OMS > Order'}, 'usage_scene': 'Copilot问答、帮助中心、FAQ列表', 'language': 'zh-CN'}"
常见问答（FAQ）,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,"{'card_type': '标准卡片', 'title': '常见问答（FAQ） - 标准卡片 示例卡片', 'content': {'摘要内容': 'OMS订单模块涵盖创建、审核、分配及履约全过程，支持多仓、多角色协同。', '关键词': ['OMS', '订单分配', '履约']}, 'usage_scene': 'Copilot问答、帮助中心、FAQ列表', 'language': 'zh-CN'}"
字段说明提取,字段卡片,请识别下列字段及其定义、类型、是否必填，结构化输出为字段说明卡片。,"{'card_type': '字段卡片', 'title': '字段说明提取 - 字段卡片 示例卡片', 'content': {'字段名': 'delivery_type', '定义': '定义配送方式，如自提或配送', '类型': 'String', '是否必填': True, '页面路径': '/oms/order/create'}, 'usage_scene': '表单字段提示、接口字段说明、配置字段文档', 'language': 'zh-CN'}"
字段说明提取,术语卡片,请提取文中的术语与其定义、英文原文与示例用法，输出为术语卡片结构。,"{'card_type': '术语卡片', 'title': '字段说明提取 - 术语卡片 示例卡片', 'content': {'术语': '派车优先级', '定义说明': '用于表示任务调度中车辆选择的优先程度', '英文原文': 'Dispatch Priority', '示例用法': '加急任务默认派车优先级为最高'}, 'usage_scene': '表单字段提示、接口字段说明、配置字段文档', 'language': 'zh-CN'}"
字段说明提取,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,"{'card_type': '标准卡片', 'title': '字段说明提取 - 标准卡片 示例卡片', 'content': {'摘要内容': 'OMS订单模块涵盖创建、审核、分配及履约全过程，支持多仓、多角色协同。', '关键词': ['OMS', '订单分配', '履约']}, 'usage_scene': '表单字段提示、接口字段说明、配置字段文档', 'language': 'zh-CN'}"
异常码解释,流程卡片,请将以下操作流程整理为步骤清单，并说明适用模块与使用说明。,"{'card_type': '流程卡片', 'title': '异常码解释 - 流程卡片 示例卡片', 'content': {'流程标题': 'OMS创建订单流程', '步骤1-5': ['点击新建订单', '选择客户', '填写明细', '确认仓库', '提交订单'], '适用模块': 'OMS > Order', '备注说明': '适用于标准下单流程'}, 'usage_scene': '系统异常弹窗、日志错误提示、Bot快速响应', 'language': 'zh-CN'}"
异常码解释,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,"{'card_type': 'QA卡片', 'title': '异常码解释 - QA卡片 示例卡片', 'content': {'问题': 'OMS订单履约失败怎么办？', '回答内容': '请检查客户地址与仓库是否匹配，确认是否开启了默认仓策略', '适用模块': 'OMS > Order'}, 'usage_scene': '系统异常弹窗、日志错误提示、Bot快速响应', 'language': 'zh-CN'}"
异常码解释,异常卡片,请解释以下异常码的含义、触发原因与处理建议。,"{'card_type': '异常卡片', 'title': '异常码解释 - 异常卡片 示例卡片', 'content': {'异常码': 'E1043', '含义说明': '系统未配置默认仓库', '触发原因': '客户地址未绑定默认仓库，无法进行订单分配', '处理建议': '请前往OMS后台配置默认仓库'}, 'usage_scene': '系统异常弹窗、日志错误提示、Bot快速响应', 'language': 'zh-CN'}"
术语定义,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,"{'card_type': '标准卡片', 'title': '术语定义 - 标准卡片 示例卡片', 'content': {'摘要内容': 'OMS订单模块涵盖创建、审核、分配及履约全过程，支持多仓、多角色协同。', '关键词': ['OMS', '订单分配', '履约']}, 'usage_scene': '术语表、统一业务词汇规范、Bot关键词理解', 'language': 'zh-CN'}"
术语定义,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,"{'card_type': 'QA卡片', 'title': '术语定义 - QA卡片 示例卡片', 'content': {'问题': 'OMS订单履约失败怎么办？', '回答内容': '请检查客户地址与仓库是否匹配，确认是否开启了默认仓策略', '适用模块': 'OMS > Order'}, 'usage_scene': '术语表、统一业务词汇规范、Bot关键词理解', 'language': 'zh-CN'}"
术语定义,术语卡片,请提取文中的术语与其定义、英文原文与示例用法，输出为术语卡片结构。,"{'card_type': '术语卡片', 'title': '术语定义 - 术语卡片 示例卡片', 'content': {'术语': '派车优先级', '定义说明': '用于表示任务调度中车辆选择的优先程度', '英文原文': 'Dispatch Priority', '示例用法': '加急任务默认派车优先级为最高'}, 'usage_scene': '术语表、统一业务词汇规范、Bot关键词理解', 'language': 'zh-CN'}"
操作流程提取,流程卡片,请将以下操作流程整理为步骤清单，并说明适用模块与使用说明。,"{'card_type': '流程卡片', 'title': '操作流程提取 - 流程卡片 示例卡片', 'content': {'流程标题': 'OMS创建订单流程', '步骤1-5': ['点击新建订单', '选择客户', '填写明细', '确认仓库', '提交订单'], '适用模块': 'OMS > Order', '备注说明': '适用于标准下单流程'}, 'usage_scene': '操作指导、系统配置指引、培训文档', 'language': 'zh-CN'}"
操作流程提取,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,"{'card_type': 'QA卡片', 'title': '操作流程提取 - QA卡片 示例卡片', 'content': {'问题': 'OMS订单履约失败怎么办？', '回答内容': '请检查客户地址与仓库是否匹配，确认是否开启了默认仓策略', '适用模块': 'OMS > Order'}, 'usage_scene': '操作指导、系统配置指引、培训文档', 'language': 'zh-CN'}"
操作流程提取,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,"{'card_type': '标准卡片', 'title': '操作流程提取 - 标准卡片 示例卡片', 'content': {'摘要内容': 'OMS订单模块涵盖创建、审核、分配及履约全过程，支持多仓、多角色协同。', '关键词': ['OMS', '订单分配', '履约']}, 'usage_scene': '操作指导、系统配置指引、培训文档', 'language': 'zh-CN'}"
内容对比分析,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,"{'card_type': '标准卡片', 'title': '内容对比分析 - 标准卡片 示例卡片', 'content': {'摘要内容': 'OMS订单模块涵盖创建、审核、分配及履约全过程，支持多仓、多角色协同。', '关键词': ['OMS', '订单分配', '履约']}, 'usage_scene': '合规文档审查、接口对比、内容优化建议', 'language': 'zh-CN'}"
内容对比分析,对比卡片,请对比以下两段内容，提取差异说明，并给出建议合并内容。,"{'card_type': '对比卡片', 'title': '内容对比分析 - 对比卡片 示例卡片', 'content': {'版本A内容': 'OMS V1人工派单+Excel导出', '版本B内容': 'OMS V2系统自动派单+接口推送', '差异说明': 'V2简化了人工操作，提升自动化程度', '推荐合并内容': '建议统一采用OMS V2模式'}, 'usage_scene': '合规文档审查、接口对比、内容优化建议', 'language': 'zh-CN'}"
多文档合并,综合卡片,请将以下多份文档内容进行去重合并，输出统一内容，并注明合并标签与来源。,"{'card_type': '综合卡片', 'title': '多文档合并 - 综合卡片 示例卡片', 'content': {'统一内容': '本文整合了OMS履约、派车、发货模块的通用配置流程。', '来源列表': ['OMS履约配置.docx', '派车规则说明.pdf'], '合并标签': ['派车', '履约', '流程']}, 'usage_scene': '多个版本文档合并、冗余内容统一处理', 'language': 'zh-CN'}"
多文档合并,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,"{'card_type': '标准卡片', 'title': '多文档合并 - 标准卡片 示例卡片', 'content': {'摘要内容': 'OMS订单模块涵盖创建、审核、分配及履约全过程，支持多仓、多角色协同。', '关键词': ['OMS', '订单分配', '履约']}, 'usage_scene': '多个版本文档合并、冗余内容统一处理', 'language': 'zh-CN'}"
模块归类推荐,模块卡片,请判断内容应归属的系统、模块、页面字段，并生成推荐标签。,"{'card_type': '模块卡片', 'title': '模块归类推荐 - 模块卡片 示例卡片', 'content': {'系统': 'OMS', '模块': 'Order', '页面路径': '/oms/order/view', '推荐用途': ['字段提示', '异常解释']}, 'usage_scene': '知识打标签、字段定位、系统内联动推荐', 'language': 'zh-CN'}"
模块归类推荐,术语卡片,请提取文中的术语与其定义、英文原文与示例用法，输出为术语卡片结构。,"{'card_type': '术语卡片', 'title': '模块归类推荐 - 术语卡片 示例卡片', 'content': {'术语': '派车优先级', '定义说明': '用于表示任务调度中车辆选择的优先程度', '英文原文': 'Dispatch Priority', '示例用法': '加急任务默认派车优先级为最高'}, 'usage_scene': '知识打标签、字段定位、系统内联动推荐', 'language': 'zh-CN'}"
中英文同步生成,双语卡片 + 上述所有类型,请输出双语卡片 + 上述所有类型结构内容。,"{'card_type': '双语卡片 + 上述所有类型', 'title': '中英文同步生成 - 双语卡片 + 上述所有类型 示例卡片', 'content': {'中文内容': '该订单已完成发货', '英文内容': 'The order has been shipped.', '语种标签': 'zh-CN/en-US'}, 'usage_scene': '中英双语团队、多语言知识输出、海外项目对接', 'language': 'zh-CN'}"
中英文同步生成,双语卡片,请将以下内容分别生成中英文两版，并保证语义一致。,"{'card_type': '双语卡片', 'title': '中英文同步生成 - 双语卡片 示例卡片', 'content': {'中文内容': '该订单已完成发货', '英文内容': 'The order has been shipped.', '语种标签': 'zh-CN/en-US'}, 'usage_scene': '中英双语团队、多语言知识输出、海外项目对接', 'language': 'zh-CN'}"
