提取目标,卡片类型,Prompt模板,卡片结构字段,提取目标说明,典型场景说明
内容摘要,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,标题（Input）、摘要内容（Textarea）、关键词（TagPicker）,用于快速理解文档主旨，提取一段概括性描述,页面Bot提示、搜索摘要结果、知识聚合卡片
内容摘要,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,标题（Input）、摘要内容（Textarea）、关键词（TagPicker）,用于快速理解文档主旨，提取一段概括性描述,页面Bot提示、搜索摘要结果、知识聚合卡片
内容摘要,术语卡片,请提取文中的术语与其定义、英文原文与示例用法，输出为术语卡片结构。,标题（Input）、摘要内容（Textarea）、关键词（TagPicker）,用于快速理解文档主旨，提取一段概括性描述,页面Bot提示、搜索摘要结果、知识聚合卡片
常见问答（FAQ）,流程卡片,请将以下操作流程整理为步骤清单，并说明适用模块与使用说明。,问题（Input）、回答内容（Textarea）、适用模块（Dropdown）,从内容中识别高频问题及答案对,Copilot问答、帮助中心、FAQ列表
常见问答（FAQ）,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,问题（Input）、回答内容（Textarea）、适用模块（Dropdown）,从内容中识别高频问题及答案对,Copilot问答、帮助中心、FAQ列表
常见问答（FAQ）,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,问题（Input）、回答内容（Textarea）、适用模块（Dropdown）,从内容中识别高频问题及答案对,Copilot问答、帮助中心、FAQ列表
字段说明提取,字段卡片,请识别下列字段及其定义、类型、是否必填，结构化输出为字段说明卡片。,字段名（Input）、定义（Textarea）、类型（Select）、是否必填（Checkbox）、页面路径（Input）,将表格或文本中的字段信息结构化为说明卡片,表单字段提示、接口字段说明、配置字段文档
字段说明提取,术语卡片,请提取文中的术语与其定义、英文原文与示例用法，输出为术语卡片结构。,字段名（Input）、定义（Textarea）、类型（Select）、是否必填（Checkbox）、页面路径（Input）,将表格或文本中的字段信息结构化为说明卡片,表单字段提示、接口字段说明、配置字段文档
字段说明提取,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,字段名（Input）、定义（Textarea）、类型（Select）、是否必填（Checkbox）、页面路径（Input）,将表格或文本中的字段信息结构化为说明卡片,表单字段提示、接口字段说明、配置字段文档
异常码解释,流程卡片,请将以下操作流程整理为步骤清单，并说明适用模块与使用说明。,异常码（Input）、含义说明（Textarea）、触发原因（Textarea）、处理建议（Textarea）,解释系统异常码的含义、原因和建议,系统异常弹窗、日志错误提示、Bot快速响应
异常码解释,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,异常码（Input）、含义说明（Textarea）、触发原因（Textarea）、处理建议（Textarea）,解释系统异常码的含义、原因和建议,系统异常弹窗、日志错误提示、Bot快速响应
异常码解释,异常卡片,请解释以下异常码的含义、触发原因与处理建议。,异常码（Input）、含义说明（Textarea）、触发原因（Textarea）、处理建议（Textarea）,解释系统异常码的含义、原因和建议,系统异常弹窗、日志错误提示、Bot快速响应
术语定义,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,术语（Input）、定义说明（Textarea）、英文原文（Input）、示例用法（Textarea）,提取行业或系统术语及解释说明,术语表、统一业务词汇规范、Bot关键词理解
术语定义,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,术语（Input）、定义说明（Textarea）、英文原文（Input）、示例用法（Textarea）,提取行业或系统术语及解释说明,术语表、统一业务词汇规范、Bot关键词理解
术语定义,术语卡片,请提取文中的术语与其定义、英文原文与示例用法，输出为术语卡片结构。,术语（Input）、定义说明（Textarea）、英文原文（Input）、示例用法（Textarea）,提取行业或系统术语及解释说明,术语表、统一业务词汇规范、Bot关键词理解
操作流程提取,流程卡片,请将以下操作流程整理为步骤清单，并说明适用模块与使用说明。,流程标题（Input）、步骤1-5（List）、适用模块（Dropdown）、备注说明（Textarea）,提炼多步操作流程或指引内容,操作指导、系统配置指引、培训文档
操作流程提取,QA卡片,请从以下内容中提取常见问题与回答，格式为问答对。,流程标题（Input）、步骤1-5（List）、适用模块（Dropdown）、备注说明（Textarea）,提炼多步操作流程或指引内容,操作指导、系统配置指引、培训文档
操作流程提取,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,流程标题（Input）、步骤1-5（List）、适用模块（Dropdown）、备注说明（Textarea）,提炼多步操作流程或指引内容,操作指导、系统配置指引、培训文档
内容对比分析,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,版本A内容、版本B内容、差异说明、推荐合并内容（Textarea）,对比两个版本内容差异，提取差异点,合规文档审查、接口对比、内容优化建议
内容对比分析,对比卡片,请对比以下两段内容，提取差异说明，并给出建议合并内容。,版本A内容、版本B内容、差异说明、推荐合并内容（Textarea）,对比两个版本内容差异，提取差异点,合规文档审查、接口对比、内容优化建议
多文档合并,综合卡片,请将以下多份文档内容进行去重合并，输出统一内容，并注明合并标签与来源。,统一内容（Textarea）、来源列表（Textarea）、合并标签（MultiSelect）,将多个文档合并为统一知识卡片,多个版本文档合并、冗余内容统一处理
多文档合并,标准卡片,请将以下内容提炼为简明摘要，突出重点信息，用于快速理解。,统一内容（Textarea）、来源列表（Textarea）、合并标签（MultiSelect）,将多个文档合并为统一知识卡片,多个版本文档合并、冗余内容统一处理
模块归类推荐,模块卡片,请判断内容应归属的系统、模块、页面字段，并生成推荐标签。,系统（Select）、模块（Select）、页面路径（Input）、推荐用途（MultiSelect）,由AI判断知识所属的系统模块或页面,知识打标签、字段定位、系统内联动推荐
模块归类推荐,术语卡片,请提取文中的术语与其定义、英文原文与示例用法，输出为术语卡片结构。,系统（Select）、模块（Select）、页面路径（Input）、推荐用途（MultiSelect）,由AI判断知识所属的系统模块或页面,知识打标签、字段定位、系统内联动推荐
中英文同步生成,双语卡片 + 上述所有类型,请输出双语卡片 + 上述所有类型结构内容。,中文内容（Textarea）、英文内容（Textarea）、语种标签（Select）,生成同内容的中英文卡片内容,中英双语团队、多语言知识输出、海外项目对接
中英文同步生成,双语卡片,请将以下内容分别生成中英文两版，并保证语义一致。,中文内容（Textarea）、英文内容（Textarea）、语种标签（Select）,生成同内容的中英文卡片内容,中英双语团队、多语言知识输出、海外项目对接
